import time: self [us] | cumulative | imported package
import time:     17719 |      17719 |                       pandas._libs.reshape
import time:     23195 |      23195 |                       pandas.core.indexes.accessors
import time:     29899 |      29899 |                         pandas.arrays
import time:    271731 |     301629 |                       pandas.core.tools.datetimes
import time:     36156 |      36156 |                       pandas.io.formats.info
import time:     45452 |      45452 |                         pandas.plotting._core
import time:     29366 |      29366 |                         pandas.plotting._misc
import time:    824528 |     899345 |                       pandas.plotting
import time:   1820881 |    3098922 |                     pandas.core.series
import time:   1347230 |   27331147 |                   pandas.core.frame
import time:     49494 |      49494 |                   pandas.core.groupby.base
import time:     24490 |      24490 |                     pandas._libs.groupby
import time:     22825 |      22825 |                       pandas.core.groupby.categorical
import time:    351704 |     374528 |                     pandas.core.groupby.grouper
import time:    764157 |    1163174 |                   pandas.core.groupby.ops
import time:     26149 |      26149 |                     pandas.core.groupby.numba_
import time:     32407 |      32407 |                     pandas.core.groupby.indexing
import time:   1037897 |    1096452 |                   pandas.core.groupby.groupby
import time:   2159048 |   32929418 |                 pandas.core.groupby.generic
import time:    902343 |   33831760 |               pandas.core.groupby
import time:   2457879 |   88899556 |             pandas.core.api
import time:     94015 |      94015 |             pandas.tseries.api
import time:     60929 |      60929 |                     pandas.core.computation.common
import time:   1137911 |    1198839 |                   pandas.core.computation.align
import time:     14202 |      14202 |                       pprint
import time:    918566 |     932767 |                     pandas.core.computation.scope
